"","id","name","terminalName","lastCommWithServer","lat","long","installed","locked","installDate","removalDate","temporary","public","nbBikes","nbEmptyDocks","latestUpdateTime","date","total","percentBikes","percentDocks"
"1","1","20th & Bell St","31000","1403197270408","38.8561","-77.0512","true","false","1316059200000","","false","true",23,23,"1403183674548",2014-06-19 09:14:34,46,0.5,0.5
"2","2","18th & Eads St.","31001","1403197265693","38.85725","-77.05332","true","false","1284989400000","","false","true",23,24,"1403197264649",2014-06-19 13:01:04,47,0.48936170212766,0.51063829787234
"3","3","20th & Crystal Dr","31002","1403197299049","38.8564","-77.0492","true","false","1284464580000","","false","true",27,24,"1403196605710",2014-06-19 12:50:05,51,0.529411764705882,0.470588235294118
"4","4","15th & Crystal Dr","31003","1403197324878","38.86017","-77.049593","true","false","1284464880000","","false","true",22,25,"1403196719325",2014-06-19 12:51:59,47,0.468085106382979,0.531914893617021
"5","5","Aurora Hills Community Ctr/18th & Hayes St","31004","1403197209905","38.857866","-77.05949","true","false","1284464880000","","false","true",20,26,"1403192887605",2014-06-19 11:48:07,46,0.434782608695652,0.565217391304348
"6","6","12th & Hayes St /  Pentagon City Metro","31005","1403197333813","38.862303","-77.059936","true","false","1284464940000","","false","true",27,3,"1403196437168",2014-06-19 12:47:17,30,0.9,0.1
"7","7","S Joyce & Army Navy Dr","31006","1403197394915","38.8637","-77.0633","true","false","1284464940000","","false","true",23,24,"1403196570592",2014-06-19 12:49:30,47,0.48936170212766,0.51063829787234
"8","8","Crystal City Metro / 18th & Bell St","31007","1403197249325","38.8573","-77.0511","true","false","1284465000000","","false","true",27,3,"1403190321452",2014-06-19 11:05:21,30,0.9,0.1
"9","9","12th & Army Navy Dr","31008","1403197417850","38.8629","-77.0528","true","false","1284465000000","","false","true",24,23,"1403187017894",2014-06-19 10:10:17,47,0.51063829787234,0.48936170212766
"10","10","27th & Crystal Dr","31009","1403197271537","38.848441","-77.051516","true","false","1284465060000","","false","true",27,3,"1403197270927",2014-06-19 13:01:10,30,0.9,0.1
"11","11","S Glebe & Potomac Ave","31010","1403197295213","38.8426","-77.0502","true","false","1284465120000","","false","true",24,23,"1403197052239",2014-06-19 12:57:32,47,0.51063829787234,0.48936170212766
"12","12","23rd & Crystal Dr","31011","1403197293398","38.8533","-77.0498","true","false","1284465120000","","false","true",27,26,"1403192931406",2014-06-19 11:48:51,53,0.509433962264151,0.490566037735849
"13","13","26th & S Clark St","31012","1403197242451","38.850688","-77.05152","true","false","1284465300000","","false","true",1,4,"1403197000473",2014-06-19 12:56:40,5,0.2,0.8
"14","14","19th St & Pennsylvania Ave NW","31100","1403197233173","38.9003","-77.0429","true","false","1284465360000","","false","true",20,5,"1403197232304",2014-06-19 13:00:32,25,0.8,0.2
"15","15","14th & V St NW","31101","1403197393617","38.9176","-77.0321","true","false","1284465420000","","false","true",23,16,"1403197393118",2014-06-19 13:03:13,39,0.58974358974359,0.41025641025641
"16","16","11th & Kenyon St NW","31102","1403197386460","38.929464","-77.027822","true","false","1286539080000","","false","true",26,11,"1403197385859",2014-06-19 13:03:05,37,0.702702702702703,0.297297297297297
"17","17","16th & Harvard St NW","31103","1403197240718","38.926088","-77.036536","true","false","1284465480000","","false","true",8,11,"1403196998820",2014-06-19 12:56:38,19,0.421052631578947,0.578947368421053
"18","18","Adams Mill & Columbia Rd NW","31104","1403197382649","38.922925","-77.042581","true","false","1284465540000","","false","true",23,3,"1403196414913",2014-06-19 12:46:54,26,0.884615384615385,0.115384615384615
"19","19","14th & Harvard St NW","31105","1403197299478","38.9268","-77.0322","true","false","1284465540000","","false","true",20,9,"1403197298700",2014-06-19 13:01:38,29,0.689655172413793,0.310344827586207
"20","20","Calvert & Biltmore St NW","31106","1403197390271","38.923203","-77.047637","true","false","1284465600000","","false","true",22,12,"1403196424290",2014-06-19 12:47:04,34,0.647058823529412,0.352941176470588
"21","21","Lamont & Mt Pleasant NW","31107","1403197383653","38.9319","-77.0388","true","false","1284465600000","","false","true",26,4,"1403189547836",2014-06-19 10:52:27,30,0.866666666666667,0.133333333333333
"22","22","4th & M St SW","31108","1403197232334","38.8767","-77.0178","true","false","1284465660000","","false","true",27,6,"1403197222240",2014-06-19 13:00:22,33,0.818181818181818,0.181818181818182
"23","23","15th & P St NW","31201","1403197335376","38.90985","-77.034438","true","false","1284465660000","","false","true",12,9,"1403197093146",2014-06-19 12:58:13,21,0.571428571428571,0.428571428571429
"24","24","14th & R St NW","31202","1403197283468","38.912682","-77.031681","true","false","1284465720000","","false","true",26,24,"1403197282275",2014-06-19 13:01:22,50,0.52,0.48
"25","25","14th & Rhode Island Ave NW","31203","1403197393433","38.9086","-77.0323","true","false","1284465780000","","false","true",2,16,"1403196185508",2014-06-19 12:43:05,18,0.111111111111111,0.888888888888889
"26","26","20th & E St NW","31204","1403197301324","38.8963","-77.045","true","false","1284465840000","","false","true",7,1,"1403191773970",2014-06-19 11:29:33,8,0.875,0.125
"27","27","21st & I St NW","31205","1403197214181","38.9008","-77.047","true","false","1283861040000","","false","true",17,27,"1403196971338",2014-06-19 12:56:11,44,0.386363636363636,0.613636363636364
"28","28","Georgia & New Hampshire Ave NW","31400","1403197313622","38.936043","-77.024649","true","false","1284465900000","","false","true",25,25,"1403196786203",2014-06-19 12:53:06,50,0.5,0.5
"29","29","14th St & Spring Rd NW","31401","1403197242795","38.9375","-77.0328","true","false","1284465960000","","false","true",12,27,"1403190063612",2014-06-19 11:01:03,39,0.307692307692308,0.692307692307692
"30","30","John McCormack Dr & Michigan Ave NE","31502","1403197248301","38.9346","-76.9955","true","false","1284465960000","","false","true",20,26,"1403196473681",2014-06-19 12:47:53,46,0.434782608695652,0.565217391304348
"31","31","5th & K St NW","31600","1403197240563","38.90304","-77.019027","true","false","1284466020000","","false","true",20,9,"1403196756753",2014-06-19 12:52:36,29,0.689655172413793,0.310344827586207
"32","32","19th & East Capitol St SE","31601","1403197259861","38.8896","-76.9769","true","false","1284466020000","","false","true",4,21,"1403190550369",2014-06-19 11:09:10,25,0.16,0.84
"33","33","Park Rd & Holmead Pl NW","31602","1403197413765","38.9308","-77.0315","true","false","1284466080000","","false","true",3,27,"1403197171486",2014-06-19 12:59:31,30,0.1,0.9
"34","34","Good Hope & Naylor Rd SE","31700","1403197426753","38.8601","-76.9672","true","false","1284466140000","","false","true",20,26,"1403178963244",2014-06-19 07:56:03,46,0.434782608695652,0.565217391304348
"35","35","Connecticut Ave & Newark St NW / Cleveland Park","31305","1403197392881","38.934267","-77.057979","true","false","1289241840000","","false","true",23,24,"1403197150882",2014-06-19 12:59:10,47,0.48936170212766,0.51063829787234
"36","36","Randle Circle & Minnesota Ave SE","31702","1403197252650","38.878","-76.9607","true","false","1284466200000","","false","true",23,24,"1403064023812",2014-06-18 00:00:23,47,0.48936170212766,0.51063829787234
"37","37","Minnesota Ave Metro/DOES","31703","1403197266134","38.897063","-76.947446","true","false","1284466200000","","false","true",26,19,"1403196084079",2014-06-19 12:41:24,45,0.577777777777778,0.422222222222222
"38","38","Nannie Helen Burroughs & Minnesota Ave NE","31704","1403197256055","38.901385","-76.941877","true","false","1386766320000","1298396940000","false","true",24,23,"1403173880955",2014-06-19 06:31:20,47,0.51063829787234,0.48936170212766
"39","39","Anacostia Metro","31801","1403197348311","38.862669","-76.994637","true","false","1284466260000","","false","true",22,24,"1403183548256",2014-06-19 09:12:28,46,0.478260869565217,0.521739130434783
"40","40","Good Hope Rd & MLK Ave SE","31802","1403197383605","38.867373","-76.988039","true","false","1305288720000","","false","true",23,24,"1403194643369",2014-06-19 12:17:23,47,0.48936170212766,0.51063829787234
"41","41","19th & E Street NW","31206","1403197220946","38.8952","-77.0436","true","false","1284545040000","","false","true",26,13,"1403197219965",2014-06-19 13:00:19,39,0.666666666666667,0.333333333333333
"42","42","4th St & Rhode Island Ave NE","31500","1403197317014","38.919488","-77.000624","true","false","1289970000000","","false","true",2,27,"1403194651823",2014-06-19 12:17:31,29,0.0689655172413793,0.931034482758621
"43","43","10th & U St NW","31111","1403197293854","38.9172","-77.0259","true","false","1285822380000","","false","true",20,4,"1403197292874",2014-06-19 13:01:32,24,0.833333333333333,0.166666666666667
"44","44","Georgia Ave and Fairmont St NW","31207","1403197227294","38.9249","-77.0222","true","false","1285041600000","","false","true",12,27,"1403189488710",2014-06-19 10:51:28,39,0.307692307692308,0.692307692307692
"45","45","1st & N St  SE","31209","1403197256185","38.8743","-77.0057","true","false","1285041600000","","false","true",24,20,"1403196772647",2014-06-19 12:52:52,44,0.545454545454545,0.454545454545455
"46","46","20th St & Florida Ave NW","31110","1403197265681","38.9154","-77.0446","true","false","1285217520000","","false","true",1,8,"1403196057622",2014-06-19 12:40:57,9,0.111111111111111,0.888888888888889
"47","47","7th & T St NW","31109","1403197412621","38.9155","-77.0222","true","false","1285735680000","","false","true",1,8,"1403196928793",2014-06-19 12:55:28,9,0.111111111111111,0.888888888888889
