"","id","name","terminalName","lastCommWithServer","lat","long","installed","locked","installDate","removalDate","temporary","public","nbBikes","nbEmptyDocks","latestUpdateTime","date","total","percentBikes","percentDocks"
"1","1","20th & Bell St","31000","1404316309936","38.8561","-77.0512","true","false","1316059200000","","false","true",25,27,"1404310309901",2014-07-02 10:11:49,52,0.480769230769231,0.519230769230769
"2","2","18th & Eads St.","31001","1404316278861","38.85725","-77.05332","true","false","1284989400000","","false","true",20,28,"1404306967989",2014-07-02 09:16:07,48,0.416666666666667,0.583333333333333
"3","3","20th & Crystal Dr","31002","1404316425157","38.8564","-77.0492","true","false","1284464580000","","false","true",3,25,"1404311720438",2014-07-02 10:35:20,28,0.107142857142857,0.892857142857143
"4","4","15th & Crystal Dr","31003","1404316346702","38.86017","-77.049593","true","false","1284464880000","","false","true",28,24,"1404310323008",2014-07-02 10:12:03,52,0.538461538461538,0.461538461538462
"5","5","Aurora Hills Community Ctr/18th & Hayes St","31004","1404316415995","38.857866","-77.05949","true","false","1284464880000","","false","true",25,27,"1404316415189",2014-07-02 11:53:35,52,0.480769230769231,0.519230769230769
"6","6","12th & Hayes St /  Pentagon City Metro","31005","1404316376642","38.862303","-77.059936","true","false","1284464940000","","false","true",27,6,"1404309312828",2014-07-02 09:55:12,33,0.818181818181818,0.181818181818182
"7","7","S Joyce & Army Navy Dr","31006","1404316365633","38.8637","-77.0633","true","false","1284464940000","","false","true",20,28,"1404308655880",2014-07-02 09:44:15,48,0.416666666666667,0.583333333333333
"8","8","Crystal City Metro / 18th & Bell St","31007","1404316412764","38.8573","-77.0511","true","false","1284465000000","","false","true",29,3,"1404311659450",2014-07-02 10:34:19,32,0.90625,0.09375
"9","9","12th & Army Navy Dr","31008","1404316373024","38.8629","-77.0528","true","false","1284465000000","","false","true",29,23,"1404306760139",2014-07-02 09:12:40,52,0.557692307692308,0.442307692307692
"10","10","27th & Crystal Dr","31009","1404316496213","38.848441","-77.051516","true","false","1284465060000","","false","true",27,6,"1404315529915",2014-07-02 11:38:49,33,0.818181818181818,0.181818181818182
"11","11","S Glebe & Potomac Ave","31010","1404316469975","38.8426","-77.0502","true","false","1284465120000","","false","true",29,23,"1404315745179",2014-07-02 11:42:25,52,0.557692307692308,0.442307692307692
"12","12","23rd & Crystal Dr","31011","1404316365812","38.8533","-77.0498","true","false","1284465120000","","false","true",30,28,"1404310496183",2014-07-02 10:14:56,58,0.517241379310345,0.482758620689655
"13","13","26th & S Clark St","31012","1404316303455","38.850688","-77.05152","true","false","1284465300000","","false","true",25,27,"1404310060830",2014-07-02 10:07:40,52,0.480769230769231,0.519230769230769
