"","id","name","terminalName","lastCommWithServer","lat","long","installed","locked","installDate","removalDate","temporary","public","nbBikes","nbEmptyDocks","latestUpdateTime","date","total","percentBikes","percentDocks"
"1","1","20th & Bell St","31000","1404669512643","38.8561","-77.0512","true","false","1316059200000","","false","true",19,25,"1404666856193",2014-07-06 13:14:16,44,0.431818181818182,0.568181818181818
"2","2","18th & Eads St.","31001","1404669458740","38.85725","-77.05332","true","false","1284989400000","","false","true",15,29,"1404668975431",2014-07-06 13:49:35,44,0.340909090909091,0.659090909090909
"3","3","20th & Crystal Dr","31002","1404669467855","38.8564","-77.0492","true","false","1284464580000","","false","true",6,13,"1404669467205",2014-07-06 13:57:47,19,0.315789473684211,0.684210526315789
"4","4","15th & Crystal Dr","31003","1404669455764","38.86017","-77.049593","true","false","1284464880000","","false","true",21,2,"1404668489701",2014-07-06 13:41:29,23,0.91304347826087,0.0869565217391304
"5","5","Aurora Hills Community Ctr/18th & Hayes St","31004","1404669381429","38.857866","-77.05949","true","false","1284464880000","","false","true",18,26,"1404667449038",2014-07-06 13:24:09,44,0.409090909090909,0.590909090909091
"6","6","12th & Hayes St /  Pentagon City Metro","31005","1404669379086","38.862303","-77.059936","true","false","1284464940000","","false","true",3,29,"1404668159019",2014-07-06 13:35:59,32,0.09375,0.90625
"7","7","S Joyce & Army Navy Dr","31006","1404669474712","38.8637","-77.0633","true","false","1284464940000","","false","true",19,19,"1404669473548",2014-07-06 13:57:53,38,0.5,0.5
"8","8","Crystal City Metro / 18th & Bell St","31007","1404669536095","38.8573","-77.0511","true","false","1284465000000","","false","true",6,27,"1404669534702",2014-07-06 13:58:54,33,0.181818181818182,0.818181818181818
"9","9","12th & Army Navy Dr","31008","1404669384084","38.8629","-77.0528","true","false","1284465000000","","false","true",12,30,"1404669142099",2014-07-06 13:52:22,42,0.285714285714286,0.714285714285714
"10","10","27th & Crystal Dr","31009","1404669493556","38.848441","-77.051516","true","false","1284465060000","","false","true",12,10,"1404666689032",2014-07-06 13:11:29,22,0.545454545454545,0.454545454545455
"11","11","S Glebe & Potomac Ave","31010","1404669472289","38.8426","-77.0502","true","false","1284465120000","","false","true",17,27,"1404667638721",2014-07-06 13:27:18,44,0.386363636363636,0.613636363636364
"12","12","23rd & Crystal Dr","31011","1404669515275","38.8533","-77.0498","true","false","1284465120000","","false","true",10,1,"1404669031920",2014-07-06 13:50:31,11,0.909090909090909,0.0909090909090909
"13","13","26th & S Clark St","31012","1404669421115","38.850688","-77.05152","true","false","1284465300000","","false","true",18,26,"1404668695528",2014-07-06 13:44:55,44,0.409090909090909,0.590909090909091
"14","14","19th St & Pennsylvania Ave NW","31100","1404669521387","38.9003","-77.0429","true","false","1284465360000","","false","true",12,6,"1404666484283",2014-07-06 13:08:04,18,0.666666666666667,0.333333333333333
"15","15","14th & V St NW","31101","1404669510903","38.9176","-77.0321","true","false","1284465420000","","false","true",6,6,"1404669176517",2014-07-06 13:52:56,12,0.5,0.5
"16","16","11th & Kenyon St NW","31102","1404669519911","38.929464","-77.027822","true","false","1286539080000","","false","true",18,12,"1404669518237",2014-07-06 13:58:38,30,0.6,0.4
"17","17","16th & Harvard St NW","31103","1404669315594","38.926088","-77.036536","true","false","1284465480000","","false","true",1,22,"1404668915799",2014-07-06 13:48:35,23,0.0434782608695652,0.956521739130435
"18","18","Adams Mill & Columbia Rd NW","31104","1404669501537","38.922925","-77.042581","true","false","1284465540000","","false","true",16,4,"1404669500313",2014-07-06 13:58:20,20,0.8,0.2
"19","19","14th & Harvard St NW","31105","1404669523906","38.9268","-77.0322","true","false","1284465540000","","false","true",21,3,"1404669522481",2014-07-06 13:58:42,24,0.875,0.125
"20","20","Calvert & Biltmore St NW","31106","1404669477645","38.923203","-77.047637","true","false","1284465600000","","false","true",18,9,"1404665815474",2014-07-06 12:56:55,27,0.666666666666667,0.333333333333333
"21","21","Lamont & Mt Pleasant NW","31107","1404669518398","38.9319","-77.0388","true","false","1284465600000","","false","true",16,8,"1404669497263",2014-07-06 13:58:17,24,0.666666666666667,0.333333333333333
"22","22","4th & M St SW","31108","1404669534888","38.8767","-77.0178","true","false","1284465660000","","false","true",4,3,"1404669271536",2014-07-06 13:54:31,7,0.571428571428571,0.428571428571429
"23","23","15th & P St NW","31201","1404669444224","38.90985","-77.034438","true","false","1284465660000","","false","true",12,8,"1404669201833",2014-07-06 13:53:21,20,0.6,0.4
"24","24","14th & R St NW","31202","1404669372308","38.912682","-77.031681","true","false","1284465720000","","false","true",4,19,"1404669371593",2014-07-06 13:56:11,23,0.173913043478261,0.826086956521739
"25","25","14th & Rhode Island Ave NW","31203","1404669479479","38.9086","-77.0323","true","false","1284465780000","","false","true",5,4,"1404669477594",2014-07-06 13:57:57,9,0.555555555555556,0.444444444444444
